Passenger 1 ID,Passenger 2 ID,Number of Teleports together
644,64130,8
644,65353,8
644,68919,8
644,86819,8
644,88194,8
644,91789,8
644,96326,8
652,51122,8
718,29873,8
718,34507,8
754,86206,8
884,23714,8
896,7365,8
896,16851,8
896,17485,8
896,33313,8
896,38518,8
896,42872,8
896,60908,8
896,88730,8
973,25272,8
973,39500,8
1049,97179,8
1139,5239,8
1139,16820,8
1139,63675,8
1139,85638,8
1139,87616,8
1296,12229,8
1296,23503,8
1296,29436,8
1296,56397,8
1296,64201,8
1302,94748,8
1479,11973,8
1691,17485,8
1691,17726,8
1691,33313,8
1691,46021,8
1791,69733,8
1848,56582,8
1862,72046,8
1884,52056,8
1884,54413,8
1887,59516,8
2067,81869,8
2210,24237,8
2221,5285,8
2221,5814,8
2221,16414,8
2221,54313,8
2291,77964,8
2342,2556,8
2345,2556,8
2508,24101,8
2508,54801,8
2582,89075,8
2718,34882,8
2805,67501,8
2850,45619,8
2850,50814,8
2850,60355,8
2850,66424,8
2850,73624,8
2864,2880,8
2878,51032,8
2889,28702,8
2978,12098,8
2978,44281,8
2978,67613,8
2978,68909,8
2978,73764,8
2978,89103,8
3163,87178,8
3223,10915,8
3437,42664,8
3546,80009,8
3956,6994,8
3956,34553,8
4025,42926,8
4025,95130,8
4058,25272,8
4227,35441,8
4227,70131,8
4528,29873,8
4528,34507,8
4528,72177,8
4528,84288,8
4528,87176,8
4567,45638,8
4617,89830,8
4821,15577,8
4821,35223,8
4821,51114,8
4821,60335,8
4821,63892,8
4821,73374,8
4821,85760,8
4872,27590,8
4872,35611,8
4872,80414,8
4915,14501,8
4915,31408,8
4915,48044,8
5084,29692,8
5084,34763,8
5084,81305,8
5164,24828,8
5164,36323,8
5164,62806,8
5164,75500,8
5239,8073,8
5239,8517,8
5239,19335,8
5239,23503,8
5239,42623,8
5239,76172,8
5285,34553,8
5285,52504,8
5285,62464,8
5285,69208,8
5285,97011,8
5648,82018,8
5723,40451,8
5873,79730,8
5921,89830,8
6174,38979,8
6181,50454,8
6302,49762,8
6360,16370,8
6394,43256,8
6394,97059,8
6476,10998,8
6476,36636,8
6523,49091,8
6523,81690,8
6564,44281,8
6564,55130,8
6721,21305,8
6721,73353,8
6747,15902,8
6747,31408,8
6747,51032,8
6747,68445,8
6747,78725,8
6994,34553,8
7036,31858,8
7061,17479,8
7061,87447,8
7201,97492,8
7210,19765,8
7365,24101,8
7365,92811,8
7523,14070,8
7566,40258,8
7684,66793,8
7757,27107,8
7763,26031,8
7763,31408,8
7763,51032,8
7763,68445,8
7763,78725,8
7804,29319,8
7813,29471,8
7813,49998,8
7847,33151,8
7865,93133,8
7865,94848,8
7972,56582,8
8067,52842,8
8067,95378,8
8073,16820,8
8073,85638,8
8073,87616,8
8499,45557,8
8517,23503,8
8517,74705,8
8553,31671,8
8553,75883,8
8553,89310,8
8553,96941,8
8605,20268,8
8927,13391,8
8927,53794,8
8927,72130,8
9204,11094,8
9222,22141,8
9222,29873,8
9222,72177,8
9222,87176,8
9242,63675,8
9242,76629,8
9242,85638,8
9367,15907,8
9490,14121,8
9630,68919,8
9647,42626,8
9661,48555,8
9733,15591,8
9733,42523,8
9846,52283,8
9846,82853,8
9961,78206,8
10078,53194,8
10113,36517,8
10113,50272,8
10211,90124,8
10335,85830,8
10433,80414,8
10629,64334,8
10998,40089,8
10998,75816,8
11066,20314,8
11066,71514,8
11107,22957,8
11107,65546,8
11107,67423,8
11183,13341,8
11201,12996,8
11387,60614,8
11484,61612,8
11514,89475,8
11552,69733,8
11558,21921,8
11558,54780,8
11733,37434,8
11811,51951,8
11958,38878,8
12053,75168,8
12098,15485,8
12098,38808,8
12098,40404,8
12098,67613,8
12098,68909,8
12098,70593,8
12098,72698,8
12098,73764,8
12098,80669,8
12221,55084,8
12229,16820,8
12229,68072,8
12385,42677,8
12421,27704,8
12421,35700,8
12421,53470,8
12421,87522,8
12447,74170,8
12809,86024,8
12884,41315,8
12884,44281,8
12884,45423,8
12884,52095,8
13313,56508,8
13334,47750,8
13341,78178,8
13391,94289,8
13551,71665,8
13734,66793,8
13829,23618,8
13942,82214,8
14121,25920,8
14121,62139,8
14198,65286,8
14271,15376,8
14486,31770,8
14486,33016,8
14501,38518,8
14501,44401,8
14501,60718,8
14501,70163,8
14501,79633,8
14501,92736,8
14547,53960,8
14691,92072,8
14853,72420,8
15052,61679,8
15071,29290,8
15191,96145,8
15218,81641,8
15323,24495,8
15376,46243,8
15485,18949,8
15485,30259,8
15485,44281,8
15485,45031,8
15485,45888,8
15485,68375,8
15485,70593,8
15485,94114,8
15548,45888,8
15548,72619,8
15554,38250,8
15554,44190,8
15577,37434,8
15763,81777,8
15855,16039,8
15855,38808,8
15855,44281,8
15855,45888,8
15855,68909,8
15902,26031,8
15902,46344,8
15902,57433,8
15902,60718,8
15902,65049,8
15902,68445,8
15902,78725,8
15902,92736,8
15902,93205,8
15907,20738,8
16039,45888,8
16039,64785,8
16042,35348,8
16203,20536,8
16263,47415,8
16263,61352,8
16414,54313,8
16501,17763,8
16633,60949,8
16657,37492,8
16671,24828,8
16671,31770,8
16671,34587,8
16671,45423,8
16671,57577,8
16671,62806,8
16671,63878,8
16671,70593,8
16671,94114,8
16820,22678,8
16820,29436,8
16820,50844,8
16820,56397,8
16820,57577,8
16820,63675,8
16820,64201,8
16820,75695,8
16820,85638,8
16851,21425,8
17170,95546,8
17200,46512,8
17320,71705,8
17479,22984,8
17479,31164,8
17479,42238,8
17479,65816,8
17479,87447,8
17479,88873,8
17485,26607,8
17485,33313,8
17485,47415,8
17485,60908,8
17485,73047,8
17554,38654,8
17554,79411,8
17710,81869,8
18148,25567,8
18236,26145,8
18329,37143,8
18329,40209,8
18329,88715,8
18380,82833,8
18416,37373,8
18753,93354,8
18840,55983,8
18926,35547,8
18937,77915,8
18946,68183,8
18946,94033,8
18949,31770,8
18949,35780,8
18949,72698,8
18949,79714,8
19039,19126,8
19039,54129,8
19042,22630,8
19126,96659,8
19126,97203,8
19179,72130,8
19219,84009,8
19255,36323,8
19255,45888,8
19255,75500,8
19261,51069,8
19335,42623,8
19337,24101,8
19337,47832,8
19337,61352,8
19337,62299,8
19337,88176,8
19337,90576,8
19388,29188,8
19592,66546,8
19598,43837,8
19598,54710,8
19641,89475,8
19646,27369,8
20129,83291,8
20231,65722,8
20246,24524,8
20290,88038,8
20314,71514,8
20752,43444,8
21188,87198,8
21188,95401,8
21206,79802,8
21364,35223,8
21425,38518,8
21425,42872,8
21425,78987,8
21425,88730,8
21676,87829,8
21689,24828,8
21689,63878,8
21702,66018,8
21813,29873,8
21813,40451,8
21813,45413,8
21813,87176,8
21828,57392,8
21921,35700,8
21921,50922,8
22035,60192,8
22121,30012,8
22141,24259,8
22141,29873,8
22141,34507,8
22141,45413,8
22141,72177,8
22141,84288,8
22258,46718,8
22258,53902,8
22258,68212,8
22722,34587,8
22722,40404,8
22722,44281,8
22722,55130,8
22722,72113,8
22824,26724,8
22824,61605,8
22824,84435,8
22831,38387,8
22831,39058,8
22831,66546,8
22895,31094,8
22895,49537,8
22957,65546,8
22972,43206,8
22972,56074,8
23109,53458,8
23336,23619,8
23503,50844,8
23503,68072,8
23503,87616,8
23518,30455,8
23567,96818,8
23593,58561,8
24044,82231,8
24101,38204,8
24101,62299,8
24101,78666,8
24101,78791,8
24101,88176,8
24101,90576,8
24259,40451,8
24359,95731,8
24522,28646,8
24522,51114,8
24522,64130,8
24524,86761,8
24656,41802,8
24828,33016,8
24828,38808,8
24828,42332,8
24828,45888,8
25130,36654,8
25130,82394,8
25224,33016,8
25224,35223,8
25224,36517,8
25224,38098,8
25224,60335,8
25224,67594,8
25224,71140,8
25224,90209,8
25224,96326,8
25272,31350,8
25388,29552,8
25454,33802,8
25454,65913,8
25454,85742,8
25950,43358,8
26031,31408,8
26031,46344,8
26031,51032,8
26031,57433,8
26031,60718,8
26031,65049,8
26031,78725,8
26031,92193,8
26031,92736,8
26031,93205,8
26607,33313,8
26607,46021,8
26724,26797,8
26724,34466,8
26724,92348,8
26724,94107,8
26789,77027,8
27281,71471,8
27377,55314,8
27496,50276,8
27601,74970,8
27621,45237,8
27621,74349,8
27704,53470,8
27704,65584,8
27704,87522,8
27712,94589,8
27800,41007,8
27800,95310,8
28179,89849,8
28270,64461,8
28524,58256,8
28646,30631,8
28646,41940,8
28646,51114,8
28646,67594,8
28655,37041,8
28666,78190,8
29101,29722,8
29101,90996,8
29436,68072,8
29443,81594,8
29706,50186,8
29722,90996,8
29845,36494,8
29873,31275,8
29873,72177,8
30145,32470,8
30259,41940,8
30391,61236,8
30444,35488,8
30444,53229,8
30444,69411,8
30739,85770,8
30761,65390,8
31164,65816,8
31164,74082,8
31164,87447,8
31195,88873,8
31195,97203,8
31275,72177,8
31275,87176,8
31408,46344,8
31408,48044,8
31408,57433,8
31408,60718,8
31408,65049,8
31408,68445,8
31408,78725,8
31408,92736,8
31408,93205,8
31671,82241,8
31671,89310,8
31671,96941,8
31770,38808,8
31770,42332,8
31770,63878,8
31770,68375,8
31770,72698,8
31770,79714,8
31802,67718,8
31802,78523,8
31858,33183,8
31925,39176,8
32113,95261,8
32128,90782,8
32231,64513,8
32470,83677,8
32810,45496,8
32957,43206,8
33016,90209,8
33016,91789,8
33063,46102,8
33151,64334,8
33193,63292,8
33303,36494,8
33313,60908,8
33313,73047,8
33348,95130,8
33591,81837,8
33802,65913,8
33802,85742,8
34150,40493,8
34150,94559,8
34166,55983,8
34166,79228,8
34166,84627,8
34466,84435,8
34507,45413,8
34507,56028,8
34507,87176,8
34553,52504,8
34553,68046,8
34580,57751,8
34587,38808,8
34587,42332,8
34587,68375,8
34587,72698,8
34587,79714,8
34868,81067,8
34882,40258,8
34882,69211,8
35136,58059,8
35162,77183,8
35223,58314,8
35223,67594,8
35223,91789,8
35223,96390,8
35488,53229,8
35488,69411,8
35547,40377,8
35547,47349,8
35547,61567,8
35547,89849,8
35624,60136,8
35700,54780,8
35724,87426,8
35780,38808,8
35780,44281,8
35863,69978,8
35863,74349,8
35863,77489,8
35863,96941,8
36233,42626,8
36235,91537,8
36323,63878,8
36323,64785,8
36393,74970,8
36453,52784,8
36505,62228,8
36517,40565,8
36517,63333,8
36517,79462,8
36517,96390,8
36636,71635,8
36651,68183,8
36654,84841,8
36804,38463,8
36804,38476,8
36804,52283,8
36804,61892,8
36804,62796,8
36804,65556,8
36804,75395,8
37325,76668,8
37325,96740,8
37356,64670,8
37434,68919,8
37530,70424,8
37701,44719,8
37701,57549,8
37701,58291,8
37701,65353,8
37701,68919,8
37701,75792,8
38098,63892,8
38098,88194,8
38204,47832,8
38204,62299,8
38204,88176,8
38204,90576,8
38250,44190,8
38383,50236,8
38383,61605,8
38458,61200,8
38512,44190,8
38512,47155,8
38518,42872,8
38518,61352,8
38518,80061,8
38518,97766,8
38685,47491,8
38808,62806,8
38808,63878,8
38808,94114,8
38979,49544,8
39097,71050,8
39097,76160,8
39097,86313,8
39397,62305,8
39451,71069,8
40199,45411,8
40238,52842,8
40404,53016,8
40404,67613,8
40404,68909,8
40404,73764,8
40404,89103,8
40493,94559,8
40630,43837,8
40922,84744,8
40922,93121,8
40950,69211,8
40950,70470,8
41064,74348,8
41103,89079,8
41103,92072,8
41147,80854,8
41315,55130,8
41315,82093,8
41315,82853,8
41940,50745,8
41940,67594,8
41979,43307,8
41979,86865,8
42107,96467,8
42150,42431,8
42218,42664,8
42218,70804,8
42238,65816,8
42238,87447,8
42292,48423,8
42292,93358,8
42317,58185,8
42319,60718,8
42319,89504,8
42331,83543,8
42332,45423,8
42332,57577,8
42332,62806,8
42332,63878,8
42332,70593,8
42332,94114,8
42623,94114,8
42664,70804,8
42872,88730,8
43125,45689,8
43125,63236,8
43125,82579,8
43351,65390,8
43418,48017,8
43806,45343,8
43806,61175,8
43806,73465,8
43806,74399,8
43806,79228,8
43837,81589,8
43863,90004,8
44123,96941,8
44161,73078,8
44281,72698,8
44281,73764,8
44281,75500,8
44281,79714,8
44281,82093,8
44281,82853,8
44401,48044,8
44719,73618,8
45011,90355,8
45031,77395,8
45031,90209,8
45177,73078,8
45177,77489,8
45192,78210,8
45237,89310,8
45238,59992,8
45343,62172,8
45343,73465,8
45343,79228,8
45343,96514,8
45381,65709,8
45413,56028,8
45413,84288,8
45423,72698,8
45423,79714,8
45592,68919,8
45689,63236,8
45689,70816,8
45689,82579,8
45888,62806,8
45888,63878,8
45888,72698,8
45888,79714,8
45888,81160,8
46344,51032,8
46344,68445,8
46344,78725,8
46718,52498,8
46718,96514,8
47028,72820,8
47155,82394,8
47266,92451,8
47415,66793,8
47529,72177,8
47570,81594,8
47570,82394,8
47574,72420,8
47701,70470,8
47720,52897,8
47832,78791,8
47832,88176,8
47832,90576,8
48017,64130,8
48044,60718,8
48044,70163,8
48044,79633,8
48044,92736,8
49091,81690,8
49352,88314,8
50236,61892,8
50236,82853,8
50236,85770,8
50272,63333,8
50745,67594,8
50814,66424,8
50867,85842,8
50922,54780,8
51032,57433,8
51032,60718,8
51032,65049,8
51032,68445,8
51032,78725,8
51032,92736,8
51032,93205,8
51036,86779,8
51114,58314,8
51114,67594,8
51114,74700,8
51114,76389,8
51114,82394,8
51256,90782,8
51516,53597,8
51951,94748,8
51951,96710,8
52056,62202,8
52095,55130,8
52095,82093,8
52095,82853,8
52105,52842,8
52127,88715,8
52283,65556,8
52283,74349,8
52283,75395,8
52283,82853,8
52504,97011,8
52697,73078,8
52834,61175,8
52834,63660,8
52834,73465,8
52834,79228,8
52842,75204,8
52842,82394,8
52842,83155,8
52842,96326,8
52846,85692,8
53153,64785,8
53194,54313,8
53229,69411,8
53329,55130,8
53329,82093,8
53458,72008,8
53458,92264,8
53470,65584,8
53470,87522,8
53688,81594,8
53688,82394,8
53902,79881,8
54177,68395,8
54265,75333,8
54764,67265,8
55130,62159,8
55130,68909,8
55130,73764,8
55314,76699,8
55479,71920,8
55526,57700,8
55526,86100,8
55526,93643,8
55969,79633,8
55983,62382,8
55983,69274,8
56028,72177,8
56028,84288,8
56397,68072,8
56397,91207,8
56517,91910,8
56534,88873,8
56534,97203,8
56755,90816,8
56816,60438,8
57330,67558,8
57433,68445,8
57433,78725,8
57549,93305,8
57577,63675,8
57577,82093,8
57577,85638,8
57577,87616,8
57660,62538,8
57778,77695,8
58096,71726,8
58181,91353,8
58256,61088,8
58256,94503,8
58291,73618,8
58291,75883,8
58314,60335,8
58314,63892,8
58314,73374,8
58314,85760,8
58438,73646,8
58469,84044,8
58469,97457,8
58510,79810,8
58561,88730,8
58679,60346,8
60192,95693,8
60335,67594,8
60335,91789,8
60335,96390,8
60355,66424,8
60718,68445,8
60718,78725,8
60908,73047,8
60928,74262,8
61004,81589,8
61095,79691,8
61175,62172,8
61175,96514,8
61213,94289,8
61567,70358,8
61591,65617,8
61591,71191,8
61605,70022,8
61679,78660,8
61772,85855,8
61892,82853,8
61900,69845,8
62098,64334,8
62098,68825,8
62172,73465,8
62172,74399,8
62299,78791,8
62299,88176,8
62299,90576,8
62759,71688,8
62796,67265,8
63055,87847,8
63281,94289,8
63292,70266,8
63303,74348,8
63465,82695,8
63618,74953,8
63660,96514,8
63675,76629,8
63675,87616,8
63878,68859,8
63878,75500,8
63882,74558,8
63888,68046,8
63892,76389,8
64201,68072,8
64385,92744,8
64507,90028,8
64765,71665,8
64785,70593,8
64785,82853,8
65049,68445,8
65049,78725,8
65353,65790,8
65556,75395,8
65584,87522,8
65617,71191,8
65815,82248,8
65816,87447,8
65816,88873,8
65872,85322,8
65913,85742,8
66793,70163,8
66793,78725,8
66793,79633,8
67185,88729,8
67303,92366,8
67594,91789,8
67613,80669,8
67613,89103,8
68046,97011,8
68375,72113,8
68445,78725,8
68445,92736,8
68445,93205,8
68612,77602,8
68612,82579,8
68681,84111,8
68909,80669,8
68909,82093,8
69274,79642,8
69274,84627,8
69302,70539,8
69572,89499,8
69913,71705,8
69979,85770,8
70118,70164,8
70118,80420,8
70163,86024,8
70318,72827,8
70593,72698,8
70593,79714,8
70593,82853,8
70787,71705,8
70804,87812,8
71140,74700,8
71140,76389,8
71140,86077,8
71140,96390,8
71183,74508,8
71844,75333,8
72130,94289,8
72420,78689,8
72619,86313,8
73374,88194,8
73374,96390,8
73465,74399,8
73465,79228,8
73465,96514,8
73764,80669,8
73893,96368,8
73894,75398,8
74399,79228,8
74399,96514,8
74617,94489,8
74700,82394,8
74895,79633,8
74953,79339,8
74953,82241,8
74953,96326,8
75469,94497,8
75698,91789,8
75757,93567,8
75883,77489,8
75957,81690,8
75957,84744,8
76160,84256,8
76341,94033,8
76389,82394,8
76389,84841,8
76629,85638,8
76699,91434,8
76714,80225,8
77378,86779,8
77378,89849,8
77598,92811,8
77602,84841,8
78666,79691,8
78725,92736,8
78725,93205,8
78791,88176,8
78791,90576,8
78987,90355,8
79228,96514,8
79308,94019,8
79339,82241,8
79339,96326,8
